日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-09-12,4.251,4.508,4.251,4.413,914943,401295660.0,7.39,30.5
2025-09-15,4.35,4.429,4.331,4.4,284107,124966371.0,2.22,9.47
2025-09-16,4.381,4.401,4.361,4.389,126416,55489651.0,0.91,4.21
2025-09-17,4.381,4.391,4.37,4.388,71674,31447254.0,0.48,2.39
2025-09-18,4.38,4.411,4.379,4.401,60269,26525440.0,0.73,2.01
2025-09-19,4.388,4.407,4.388,4.398,17765,7816243.0,0.43,0.59
2025-09-22,4.398,4.399,4.38,4.395,20941,9186610.0,0.43,0.7
2025-09-23,4.381,4.407,4.37,4.391,11375,5002682.0,0.84,0.38
2025-09-24,4.391,4.401,4.372,4.397,13907,6113777.0,0.66,0.46
2025-09-25,4.397,4.397,4.36,4.377,32953,14423360.0,0.84,1.1
2025-09-26,4.351,4.385,4.346,4.377,18055,7894340.0,0.89,0.6
2025-09-29,4.36,4.381,4.31,4.359,76947,33462466.0,1.62,2.57
2025-09-30,4.333,4.367,4.302,4.345,11397,4946358.0,1.49,0.38
2025-10-09,4.319,4.321,4.297,4.307,45559,19634568.0,0.55,1.52
2025-10-10,4.311,4.311,4.26,4.274,36096,15432834.0,1.18,1.2
2025-10-13,4.27,4.283,4.234,4.28,41791,17827512.0,1.15,1.39
2025-10-14,4.274,4.3,4.26,4.3,2560,1097497.0,0.93,0.09
